villageid,villagename,acid
207009,Funaspef,207
207010,Gatteville,207
207011,George Lini,207
207012,Giraud,207
207013,Ircc,207
207014,Jimmy Steven Area,207
207015,Jubilee Farm,207
207016,Lahwe,207
207017,Lambue,207
207018,Lapita Plantation,207
207019,Lepen,207
207020,Mabenava,207
207021,Makmakvoai,207
207022,Mon Exil,207
207023,Morunji,207
207024,Nambauk,207
207025,Nambel,207
207026,Nambolankurusa,207
207027,Natuntulai,207
207028,Patumbuma,207
207029,Perenfae,207
207030,Peyrolles (Aore),207
207031,Picarde,207
207032,Plamkar,207
207033,Plenvavak,207
207034,Puel,207
207035,Putunfrak,207
207036,Ratua Island,207
207037,Rungamburu,207
207038,Saksak,207
207039,Savot,207
207040,Sda Mission,207
207041,Sevoa,207
207042,Simonson,207
207043,Tabotalo,207
207044,Tabumbatu,207
207045,Talvotor,207
207046,Tambotalo,207
207047,Tamburiamalao,207
207048,Toava,207
207049,Vakol,207
207050,Vunamalae,207
207051,Vunasari,207
207052,Wong Plantation,207
207053,Wunato,207
999916,Other Village,207
208001,Agriculture Station,208
208002,Barrick,208
208003,Bp Bon,208
208004,Canal,208
208005,Chapuis 1,208
208006,Chapuis 2,208
208007,Firestation,208
208008,Lavusvatu,208
208009,Luganville Cbd,208
208010,Mango Station,208
208011,Pepsi Sarakata,208
208012,Pump Station,208
208013,Red Corner,208
208014,Santo East,208
208015,Sarakata,208
208016,Shell,208
208017,Show Ground,208
208018,Side River,208
208019,Solomons Hill,208
208020,Solway,208
208021,St Michel,208
208022,Tankara,208
999917,Other Village,208
209001,Amahirua,209
209002,Amamwbea,209
209003,Amanusa,209
209004,Ambilahe,209
209005,Amborosi,209
209006,Aravita,209
209007,Ativusa,209
209008,Avnabahura,209
209009,Avorani,209
209010,Avunabahura,209
209011,Avunabakaliho,209
209012,Avunabuho,209
209013,Avunabulu,209
209014,Avunaleleo,209
209015,Avunambaka,209
209016,Avunambakaliko,209
209017,Avunambue,209
209018,Avunamele,209
209019,Avunarani,209
209020,Avunaresi,209
209021,Avunareworewo,209
209022,Avunatangi,209
209023,Avunatari,209
209024,Avunavae,209
209025,Barakel,209
209026,Belinboji,209
209027,Gingonikoru,209
209028,Jingontana,209
209029,Mbahurasumbe,209
209030,Mbeao,209
209031,Nafurafura,209
209032,Nahorouta,209
209033,Namwele,209
209034,Nangasa,209
209035,Nanuku,209
209036,Narango 2 (Malo),209
209037,Natanowaha,209
209038,Navondavatu,209
209039,Nawiambu,209
209040,Randel,209
209041,Sanapoe,209
209042,Small Nanuhu,209
209043,Tastabae,209
209044,Tawi Field,209
209045,Tsingonkoru,209
209046,Vatuate,209
209047,Vatuemba,209
209048,Wambalao,209
999918,Other Village,209
210001,Abaone,210
210002,Abnatavoa,210
210003,Adolala,210
210004,Alowaru,210
210005,Amalo,210
210006,Amapelao,210
210007,Ambaghura,210
210008,Ambahura,210
210009,Ampatuwotu,210
210010,Apersula,210
210011,Aremanapoi,210
210012,Aroae,210
210013,Aroakani,210
210014,Arohan,210
210015,Asamaranda,210
210016,Asanasa,210
210017,Asanawari,210
210018,Asatapu,210
210019,Asavahasa,210
210020,Atalisa,210
210021,Ataripoi,210
210022,Avunaniboe,210
210023,Avunapokorae,210
210024,Avunarao Clinic,210
210025,Avunarara,210
210026,Bethlehem (Malo),210
210027,Betrihi,210
210028,Bivanua,210
210029,Bulumed,210
210030,Genesis,210
210031,Lambetra,210
210032,Lulu,210
210033,Malokilikili,210
210034,Melbulbul,210
210035,Nalivukaivanua,210
210036,Nandiutu,210
210037,Naviaru,210
210038,Naviova,210
210039,Nemero,210
210040,Prospect,210
210041,Savakasa,210
210042,Tanmial (Malo),210
210043,Vapepoi,210
210044,Vunavinue,210
999919,Other Village,210
211001,Ankuru,211
211002,Butmas,211
211003,Faboun,211
211004,Jinoitavara,211
211005,Jinotavara,211
211006,Kororo,211
211007,Lape,211
211008,Mango Vara Clinic,211
211009,Mataloe,211
211010,Naratalapa,211
211011,Navele,211
211012,Navnaurota,211
211013,Navolala,211
211014,Nawelala,211
211015,Paparama,211
211016,Tanakar,211
211017,Tovot,211
211018,Vavuro,211
211019,Vuskom,211
211020,Vustumtum,211
211021,Vusvango,211
211022,Vutioro,211
211023,Vutkara,211
211024,White Grass (Santo),211
999920,Other Village,211
212001,Bia,212
